"Designator","Qty","Package","Part Number"
"C16","1","1206","TAJA106K016RNJ"
"C23","1","0805","22uf"
"C2,C4,C6,C8,C10,C24,C27,C29","8","0805","0.1uF / 100nF"
"C1,C3,C5,C7,C9,C13,C15,C26,C28","9","0805","0.22uF"
"C19,C25","2","0805","0.01uF"
"C11,C12,C20","3","0805","1uF"
"C18","1","0805","470PF"
,,,
"R11,R12,R15,R16,R21,R23,R24,R29,R30,R39,R40,R50,R51,R57,R58,R59,R60","17","0805","1k"
"R9,R10,R13,R14,R35,R36,R37,R38,R48,R49,R55,R56","12","0805","100k"
"R2,R4,R6,R8,R22,R41,R64,R65","6","0805","470"
"R25,R27,R31,R32","4","0805","10"
"R7","1","0805","3.9k"
"R62","1","0805","120"
"R54,R63","2","0805","10k"
"R1,R3,R61","3","0805","2.49K"
,,,
"IC6","1","SOIC16","ULN2003ADR"
