"Designator","X(mm)","Y(mm)","Side","Rotation"
"C1","45.15","24.65","Top","90"
"C2","50.23","24.65","Top","90"
"C3","55.31","18.66","Top","90"
"C4","52.77","24.65","Top","90"
"C5","57.85","18.66","Top","90"
"C6","60.39","24.65","Top","90"
"C7","70.24","32.26","Top","90"
"C8","60.39","32.27","Top","90"
"C9","66.83","9.47","Top","0"
"C10","75.63","24.64","Top","90"
"C11","62.69","61.23","Top","0"
"C12","79.83","32.65","Top","0"
"C13","69.25","87.99","Top","90"
"C15","80.07","91.63","Top","90"
"C18","12.85","30.43","Top","0"
"C19","6.03","31.38","Top","0"
"C20","6.03","28.84","Top","0"
"C23","28.00","19.88","Top","90"
"C24","75.63","16.22","Top","90"
"C25","72.78","16.24","Top","90"
"C26","64.29","16.14","Top","0"
"C27","62.93","24.64","Top","90"
"C28","66.83","12.65","Top","0"
"C29","70.55","24.64","Top","90"
"C30","57.85","71.63","Top","90"
"C16","84.19","91.19","Top","270"
"R1","46.35","16.14","Top","0"
"R2","47.72","24.66","Top","90"
"R3","46.35","13.55","Top","0"
"R4","55.31","24.64","Top","90"
"R6","57.85","24.65","Top","90"
"R7","86.99","31.29","Top","0"
"R8","66.67","31.29","Top","0"
"R9","34.05","84.01","Top","90"
"R10","34.05","91.31","Top","90"
"R11","31.51","84.01","Top","90"
"R12","31.51","91.31","Top","90"
"R13","16.57","91.31","Top","90"
"R14","16.57","84.01","Top","90"
"R15","13.73","91.31","Top","90"
"R16","13.73","84.01","Top","90"
"R21","73.09","32.26","Top","90"
"R22","73.09","24.64","Top","90"
"R23","88.58","52.93","Top","0"
"R24","88.58","55.50","Top","0"
"R25","72.54","58.05","Top","0"
"R27","72.53","52.91","Top","0"
"R29","88.56","38.05","Top","0"
"R30","88.63","40.56","Top","0"
"R31","72.54","38.05","Top","0"
"R32","72.54","43.13","Top","0"
"R35","88.61","58.04","Top","0"
"R36","88.56","43.05","Top","0"
"R37","88.58","50.37","Top","0"
"R38","88.58","35.48","Top","0"
"R39","78.42","11.38","Top","0"
"R40","83.36","11.38","Top","0"
"R41","12.85","32.97","Top","0"
"R48","45.15","66.56","Top","90"
"R49","28.04","66.52","Top","90"
"R50","45.15","71.46","Top","90"
"R51","28.00","71.46","Top","90"
"R54","36.26","24.32","Top","90"
"R55","36.59","66.55","Top","90"
"R56","53.73","66.55","Top","90"
"R57","36.59","71.46","Top","90"
"R58","53.73","71.46","Top","90"
"R59","91.20","24.00","Top","90"
"R60","91.20","13.84","Top","90"
"R61","64.20","81.93","Top","90"
"R62","31.21","24.40","Top","90"
"R63","11.43","11.06","Top","0"
"R64","65.47","24.64","Top","90"
"R65","68.01","24.64","Top","90"
"R66","67.46","58.05","Top","0"
"R67","67.45","52.98","Top","0"
"R68","67.48","43.13","Top","0"
"R69","67.46","38.05","Top","0"
"R70","2.36","47.26","Top","0"
"R71","2.36","43.76","Top","0"
"R72","2.36","40.27","Top","0"
"R73","2.36","36.78","Top","0"
"D17","12.16","47.21","Top","180"
"D18","12.16","43.77","Top","180"
"D19","12.16","40.22","Top","180"
"D20","12.27","36.78","Top","180"
"LED1","62.69","58.06","Top","0"
"LED2","62.69","52.98","Top","0"
"LED3","62.69","43.13","Top","0"
"LED4","62.69","38.05","Top","0"
"LED5","6.67","47.27","Top","180"
"LED6","6.67","43.76","Top","180"
"LED7","6.67","40.28","Top","180"
"LED8","6.67","36.78","Top","180"
"IC6","9.46","19.35","Top","270"
