Designator,Package,Part Number,Package Met
C16,1206,TAJA106K016RNJ,3216
C23,0805,22uf,
"C2,C4,C6,C8,C10,C24,C27,C29",0805,0.1uF / 100nF,
"C1,C3,C5,C7,C9,C13,C15,C26,C28,C30",0805,0.22uF,
"C19,C25",0805,0.01uF,
"C11,C12,C20",0805,1uF,
C18,0805,470PF,
,,,
"R11,R12,R15,R16,R21,R23,R24,R29,R30,R39,R40,R50,R51,R57,R58,R59,R60",0805,1k,
"R9,R10,R13,R14,R35,R36,R37,R38,R48,R49,R55,R56",0805,100k,
"R2,R4,R6,R8,R22,R41,R64,R65",0805,470,
"R25,R27,R31,R32",0805,10,
R7,0805,3.9k,
R62,0805,120,
"R54,R63",0805,10k,
"R1,R3,R61,R66,R67,R68,R69,R70,R71,R72,R73",0805,2.49K,
,,,
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8",0805,FC-2012HRK-620D,
,,,
"D17,D18,D19,D20",DO214AC,C95872,
IC6,SOIC16,ULN2003A,
,,,
Through Hole :,,,
,,,
D16,DO-41,1N5919BG,
D15,DO-41,1N5818-TP,
,,,
U1,TO-220,LM2940T-5.0/NOPB,
U2,Disc 14mm,MOV-14D220K,
,,,
J4,THT,3020-40-0100-00,
,,,
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",TO-220,STP62NS04Z,
,,,
MPX4250A,6-SIP,MPX4250AP,
,,,
"IC1,IC2",8-DIP,IXDN602PI,
IC4,8-DIP,SP721APP,
